Date,HomeTeam,AwayTeam,HS,AS,HST,AST,FTHG,FTAG,WRH,WRA,PH,PA,FTR
06/01/15,Udinese,Roma,8,13,2,7,0,1,35,70,-2,3,A
10/01/15,Sassuolo,Udinese,18,6,2,3,1,1,27,33,0,-1,D
10/01/15,Torino,Milan,26,8,5,1,1,1,22,33,1,-1,D
11/01/15,Atalanta,Chievo,16,11,6,4,1,1,16,22,0,1,D
11/01/15,Cagliari,Cesena,9,16,6,5,2,1,16,5,-2,-4,H
11/01/15,Fiorentina,Palermo,22,7,8,5,4,3,38,33,1,1,H
11/01/15,Inter,Genoa,16,13,7,6,3,1,33,38,1,-2,H
11/01/15,Napoli,Juventus,10,8,2,5,1,3,41,72,0,2,A
11/01/15,Roma,Lazio,11,13,4,7,2,2,66,50,2,3,D
11/01/15,Sampdoria,Empoli,17,7,6,2,1,0,38,16,1,-1,H
11/01/15,Verona,Parma,11,9,6,2,3,1,27,16,0,-2,H
17/01/15,Empoli,Inter,18,8,5,1,0,0,15,31,-1,2,D
17/01/15,Palermo,Roma,6,12,3,3,1,1,31,63,1,2,D
18/01/15,Cesena,Torino,13,8,4,4,2,3,5,26,-4,2,A
18/01/15,Chievo,Fiorentina,18,21,7,6,1,2,21,42,-1,2,A
18/01/15,Genoa,Sassuolo,13,15,7,9,3,3,36,26,-3,0,D
18/01/15,Juventus,Verona,18,5,8,1,4,0,73,26,3,0,H
18/01/15,Lazio,Napoli,21,9,3,5,0,1,47,44,1,1,A
18/01/15,Milan,Atalanta,15,15,4,5,0,1,31,21,-1,0,A
18/01/15,Parma,Sampdoria,8,14,1,5,0,2,15,42,-2,1,A
18/01/15,Udinese,Cagliari,12,12,3,6,2,2,31,15,-2,-1,D
24/01/15,Cagliari,Sassuolo,10,13,4,3,2,1,20,25,0,0,H
24/01/15,Lazio,Milan,18,2,6,2,3,1,50,30,1,-3,H
25/01/15,Fiorentina,Roma,18,15,3,6,1,1,40,60,1,1,D
25/01/15,Inter,Torino,14,9,2,2,0,1,30,30,0,3,A
25/01/15,Juventus,Chievo,29,8,8,1,2,0,75,20,4,-1,H
25/01/15,Parma,Cesena,18,10,2,5,1,2,15,10,-3,-2,A
25/01/15,Sampdoria,Palermo,14,16,6,6,1,1,40,30,1,0,D
25/01/15,Verona,Atalanta,17,16,6,3,1,0,30,20,0,0,H
26/01/15,Empoli,Udinese,17,10,4,3,1,2,15,35,-2,0,A
26/01/15,Napoli,Genoa,16,12,5,5,2,1,47,35,3,-3,H
31/01/15,Genoa,Fiorentina,14,9,4,5,1,1,33,38,-2,1,D
31/01/15,Roma,Empoli,20,7,3,1,1,1,57,14,1,-2,D
01/02/15,Atalanta,Cagliari,14,13,6,6,2,1,23,19,1,0,H
01/02/15,Cesena,Lazio,13,10,4,6,2,1,14,47,-1,0,H
01/02/15,Chievo,Napoli,16,12,3,4,1,2,19,50,-3,3,A
01/02/15,Milan,Parma,17,13,9,5,3,1,33,14,-2,-3,H
01/02/15,Palermo,Verona,14,11,5,4,2,1,33,28,1,0,H
01/02/15,Sassuolo,Inter,10,15,4,4,3,1,28,28,1,-1,H
01/02/15,Torino,Sampdoria,18,12,9,1,5,1,33,38,3,0,H
01/02/15,Udinese,Juventus,11,13,2,2,0,0,33,71,0,3,D
07/02/15,Juventus,Milan,20,11,8,3,3,1,72,31,4,-2,H
07/02/15,Verona,Torino,17,13,5,5,1,3,27,36,-1,4,A
08/02/15,Cagliari,Roma,17,11,6,6,1,2,18,59,0,1,A
08/02/15,Empoli,Cesena,14,10,5,2,2,0,18,13,-1,-1,H
08/02/15,Fiorentina,Atalanta,18,12,8,4,3,2,40,22,3,0,H
08/02/15,Inter,Palermo,17,8,5,1,3,0,31,31,0,-1,H
08/02/15,Napoli,Udinese,10,11,4,3,3,1,52,31,3,0,H
08/02/15,Sampdoria,Sassuolo,10,19,5,4,1,1,36,27,1,0,D
09/02/15,Lazio,Genoa,7,9,1,5,0,1,45,36,-2,-1,A
11/02/15,Parma,Chievo,10,14,2,3,0,1,13,22,-5,-2,A
14/02/15,Palermo,Napoli,7,8,4,3,3,1,34,50,1,3,H
14/02/15,Sassuolo,Fiorentina,15,15,6,10,1,3,26,43,-1,3,A
15/02/15,Atalanta,Inter,9,18,2,7,1,4,21,34,-1,0,A
15/02/15,Cesena,Juventus,12,15,6,4,2,2,13,69,0,3,D
15/02/15,Chievo,Sampdoria,8,13,4,3,2,1,26,34,-1,-1,H
15/02/15,Genoa,Verona,11,12,6,6,5,2,39,26,1,-3,H
15/02/15,Milan,Empoli,7,16,2,3,1,1,30,17,-2,0,D
15/02/15,Roma,Parma,19,5,4,0,0,0,56,13,1,-4,D
15/02/15,Torino,Cagliari,17,11,7,3,1,1,34,17,4,-1,D
15/02/15,Udinese,Lazio,12,12,6,2,0,1,30,47,-1,-1,A
20/02/15,Juventus,Atalanta,13,11,6,3,2,1,70,20,3,-3,H
22/02/15,Empoli,Chievo,15,10,5,3,3,0,20,25,1,-1,H
22/02/15,Fiorentina,Torino,23,11,4,5,1,1,41,33,2,3,D
22/02/15,Lazio,Palermo,16,9,8,6,2,1,50,33,1,0,H
22/02/15,Milan,Cesena,14,10,2,2,2,0,33,12,0,0,H
22/02/15,Verona,Roma,8,16,2,7,1,1,25,54,-2,1,D
23/02/15,Cagliari,Inter,13,19,5,9,1,2,16,37,-2,1,A
23/02/15,Napoli,Sassuolo,14,10,3,1,2,0,52,25,3,-2,H
24/02/15,Sampdoria,Genoa,9,17,3,4,1,1,33,37,-2,1,D
28/02/15,Chievo,Milan,11,11,3,2,0,0,24,32,0,1,D
01/03/15,Atalanta,Sampdoria,14,21,3,7,1,2,20,36,-3,-1,A
01/03/15,Cagliari,Verona,22,5,5,3,1,2,16,28,-4,-2,A
01/03/15,Cesena,Udinese,17,10,3,3,1,0,16,29,0,-2,H
01/03/15,Inter,Fiorentina,12,8,5,4,0,1,36,44,1,3,A
01/03/15,Palermo,Empoli,17,15,3,3,0,0,32,20,0,2,D
01/03/15,Sassuolo,Lazio,10,18,4,6,0,3,24,52,-2,1,A
01/03/15,Torino,Napoli,10,15,4,3,1,0,36,50,3,1,H
02/03/15,Roma,Juventus,8,10,3,1,1,1,52,68,1,2,D
07/03/15,Milan,Verona,18,13,4,4,2,2,30,26,0,-1,D
07/03/15,Sampdoria,Cagliari,17,10,5,4,2,0,38,15,1,-4,H
